OBJECTID,Name,Address,Phone,Website,NAICS_Code,NAICS_Info,MarketType,Materials,Latitude,Longitude
1,Taylor-Backes Inc,"0 2nd and Washington St, Boyertown, PA, 19512",(610) 367-4600,www.taylorbackes.com,327212,Other Pressed and Blown Glass and Glassware Manufacturing,Potential Primary End Market,Glass,40.3396,-75.6641
2,"Easyglass, Inc.","1 Andrew Pearson Dr, Mount Airy, NC, 27030-2124",(336) 786-1800,www.andrewpearsonglass.com,327212,Other Pressed and Blown Glass and Glassware Manufacturing,Potential Primary End Market,Glass,36.532178,-80.63845
3,"AGC Flat Glass North America, Inc.","1 Auto Glass Dr, Elizabethtown, KY, 42701-4500",(270) 737-0189,www.agc.com,327211,Flat Glass Manufacturing,Potential Primary End Market,Glass,37.668546,-85.92028
4,Vandermark Merritt Glass Studios,"1 D Angelo Dr, Branchburg, NJ, 08876-5464", ,www.vandermarkmerrittglass.com,327212,Other Pressed and Blown Glass and Glassware Manufacturing,Potential Primary End Market,Glass,40.587361,-74.71097
5,Astic Signals Defenses L.L.C.,"1 Easter CT Ste E, Owings Mills, MD, 21117-3294",(410) 902-0356,www.signalsdefense.com,327212,Other Pressed and Blown Glass and Glassware Manufacturing,Potential Primary End Market,Glass,39.420493,-76.80788
6,"Princeton Optronics, Inc.","1 Electronics Dr, Trenton, NJ, 08619-2086",(609) 584-9696,www.ams.com,327212,Other Pressed and Blown Glass and Glassware Manufacturing,Potential Primary End Market,Glass,40.261509,-74.70588
7,"Fiberoptics Technology, Inc.","1 Fiber Rd, Pomfret, CT, 06258-8003",(860) 928-0443,www.fiberopticstech.com,327212,Other Pressed and Blown Glass and Glassware Manufacturing,Potential Primary End Market,Glass,41.8975,-71.963
8,"Pochet of America, Inc","1 Garret Mountain Plz # 502, Woodland Park, NJ, 07424-3320",(973) 942-4923,www.pochet.fr,327213,Glass Container Manufacturing,Potential Primary End Market,Glass,40.901391,-74.18821
9,Verallia,"1 Glass Pl, Port Allegany, PA, 16743-1154",(814) 642-2521, ,327213,Glass Container Manufacturing,Potential Primary End Market,Glass,41.817285,-78.28838
10,Oi Australia Inc.,"1 Michael Owens Way, Perrysburg, OH, 43551-2999",(567) 336-5000,www.o-i.com,327213,Glass Container Manufacturing,Potential Primary End Market,Glass,41.52787,-83.64714
11,"O-I Latam Hq, Inc.","1 Michael Owens Way, Perrysburg, OH, 43551-2999",(567) 336-5000,www.o-i.com,327213,Glass Container Manufacturing,Potential Primary End Market,Glass,41.52787,-83.64714
12,"Bolivian Investments, Inc.","1 Michael Owens Way, Perrysburg, OH, 43551-2999", , ,327213,Glass Container Manufacturing,Potential Primary End Market,Glass,41.52787,-83.64714
13,Maumee Air Associates Inc.,"1 Michael Owens Way, Perrysburg, OH, 43551-2999", , ,327213,Glass Container Manufacturing,Potential Primary End Market,Glass,41.52787,-83.64714
14,Oi Andover Group Inc.,"1 Michael Owens Way, Perrysburg, OH, 43551-2999", , ,327213,Glass Container Manufacturing,Potential Primary End Market,Glass,41.52787,-83.64714
15,O-I Ecuador LLC,"1 Michael Owens Way, Perrysburg, OH, 43551-2999", ,www.o-i.com,327213,Glass Container Manufacturing,Potential Primary End Market,Glass,41.52787,-83.64714
16,O-I Global Holdings LLC,"1 Michael Owens Way, Perrysburg, OH, 43551-2999", ,www.o-i.com,327213,Glass Container Manufacturing,Potential Primary End Market,Glass,41.52787,-83.64714
17,"Seagate II, Inc.","1 Michael Owens Way, Perrysburg, OH, 43551-2999", , ,327213,Glass Container Manufacturing,Potential Primary End Market,Glass,41.52787,-83.64714
