OBJECTID,Name,Address,Phone,Website,NAICS_Code,NAICS_Info,MarketType,Materials,Latitude,Longitude
1,"Whemco - Steel Castings, Inc.","1 12th St, Midland, PA, 15059-1645",(724) 643-7001,www.whemco.com,331513,Steel Foundries (except Investment),Potential Primary End Market,Metals,40.632605,-80.44656
2,"GKN Sinter Metals, LLC","1 Airport Rd, Emporium, PA, 15834-2001",(814) 486-9234,www.gknpm.com,331110,Iron and Steel Mills and Ferroalloy Manufacturing,Potential Primary End Market,Metals,41.510225,-78.24723
3,Am/NS Calvert LLC,"1 AM NS Way, Calvert, AL, 36513",(251) 289-3000,www.usa.arcelormittal.com,331110,Iron and Steel Mills and Ferroalloy Manufacturing,Potential Primary End Market,Metals,31.1537,-88.007
4,"California Steel Industries, Inc.","1 California Steel Way, Fontana, CA, 92335",(909) 350-6300,www.californiasteel.com,331110,Iron and Steel Mills and Ferroalloy Manufacturing,Potential Primary End Market,Metals,34.081097,-117.506
5,Fiesta Oyster Bakest. Mary''s Alumni Ass,"1 Camino Santa Maria St, San Antonio, TX, 78228-5433",(210) 585-2110,www.oysterbake.com,331523,Nonferrous Metal Die-Casting Foundries,Potential Primary End Market,Metals,29.448763,-98.56096
6,United States Steel Corp,"1 Camp Hollow Rd, West Mifflin, PA, 15122",(412) 675-7459,www.ussteel.com,331110,Iron and Steel Mills and Ferroalloy Manufacturing,Potential Primary End Market,Metals,40.350257,-79.92715
7,Meridian Rail Acquisition Corp,"1 Centerpointe Dr Ste 400, Lake Oswego, OR, 97035-8614",(503) 684-7000,www.gbrx.com,331110,Iron and Steel Mills and Ferroalloy Manufacturing,Potential Primary End Market,Metals,45.420594,-122.7389
8,"Richmond Industries, Inc.","1 Chris CT, Dayton, NJ, 08810-1536",(732) 355-1616,www.richmond-industries.com,331529,Other Nonferrous Metal Foundries (except Die-Casting),Potential Primary End Market,Metals,40.372633,-74.49631
9,Pennex Aluminum,"1 Commerce Ave, Leetonia, OH, 44431-8720",(330) 427-6704,www.pennexaluminum.com,331318,"Other Aluminum Rolling, Drawing, and Extruding",Potential Primary End Market,Metals,40.870529,-80.77733
10,"Tms International, LLC","1 Crossman Rd N, Sayreville, NJ, 08872-1402",(732) 721-7477,www.tmsinternational.com,331110,Iron and Steel Mills and Ferroalloy Manufacturing,Potential Primary End Market,Metals,40.475491,-74.31913
11,Commercial Metals Company,"1 Crossman Rd N, Sayreville, NJ, 08872-1402",(732) 721-6600,www.cmc.com,331110,Iron and Steel Mills and Ferroalloy Manufacturing,Potential Primary End Market,Metals,40.475491,-74.31913
12,"CMC Steel Us, LLC","1 Crossman Rd N, Sayreville, NJ, 08872-1402",(732) 721-6600,www.cmc.com,331110,Iron and Steel Mills and Ferroalloy Manufacturing,Potential Primary End Market,Metals,40.475491,-74.31913
13,"Stainless Source of New England, Inc.","1 Deerfield Ave Ste 2, Shelburne Falls, MA, 01370-1134",(413) 625-2200,www.ssne.com,331110,Iron and Steel Mills and Ferroalloy Manufacturing,Potential Primary End Market,Metals,42.60312,-72.73958
14,"Excal, Inc","1 Excal Way, Mills, WY, 82644",(307) 237-0920,www.excal-inc.com,331529,Other Nonferrous Metal Foundries (except Die-Casting),Potential Primary End Market,Metals,42.847175,-106.3654
15,Excel Foundry & Machine Inc,"1 Excel Way, Pekin, IL, 61554-9313",(309) 347-6155,www.flsmidth.com,331529,Other Nonferrous Metal Foundries (except Die-Casting),Potential Primary End Market,Metals,40.53297,-89.69332
16,Beaver Built & Cherokee Mfg. LLC,"1 Gem Blvd, Byhalia, MS, 38611-2307",(901) 258-2679, ,331318,"Other Aluminum Rolling, Drawing, and Extruding",Potential Primary End Market,Metals,34.8734,-89.6922
17,R F Technologies LLC,"1 Gendron Dr, Lewiston, ME, 04240-1036", , ,331420,"Copper Rolling, Drawing, Extruding, and Alloying",Potential Primary End Market,Metals,44.059122,-70.19094
