OBJECTID,Name,Address,County,TELEPHONE,Email,Website,NAICS_Code,Infra_Type,Feedstock
1,American Eagle Paper Mills,"1600 Pennsylvania Avenue, Tyrone, PA, 16686", ,(877) 684-1610,msheehan@aepaper.com,http://aepaper.com/,562920,Paper Recycling Facility,Paper
2,APC Paper Group,"130 Sullivan Street, Claremont, NH, 03743", ,(603) 542-6330, ,http://www.apcpapergroup.com/,562920,Paper Recycling Facility,Paper
3,Beloit Box Board Company,"801 Second Street, P.O. Box 386, Beloit, WI, 3512-0386", ,(608) 365-6671,jnichols@beloitboxboard.com,http://www.beloitboxboard.com/,562920,Paper Recycling Facility,Paper
4,Boise Paper,"4585 Industrial Road, Jackson, AL,", ,(251) 246-8320,jckap@boisepaper.com,http://bph.boisepaper.com/,562920,Paper Recycling Facility,Paper
5,BPM Inc.,"200 West Front Street, Peshtigo, WI, 54157", ,(715) 582-4551,bpm@bpmpaper.com,http://www.bpmpaper.com/,562920,Paper Recycling Facility,Paper
6,Century Paper,"P.O. Box 432, Lake Winola, PA, 18625", ,(866) 767-2737,info@centurypaper.com,https://www.centurypaper.com/,562920,Paper Recycling Facility,Paper
7,Clearwater Paper Corporation,"601 West Riverside, Suite 1100, Spokane, WA, 99201", ,(509) 344-5900, ,https://www.clearwaterpaper.com/,562920,Paper Recycling Facility,Paper
8,Delta Paper,"122 Kissel Road, Unit B, Burlington, NJ, 08016", ,(856) 532-0333,info@deltapaper.com,http://deltapaper.com/,562920,Paper Recycling Facility,Paper
9,Domtar Corporation,"234 Kingsley Park Drive, Fort Mill, SC, 29715", ,(803) 802-7500,communications@domtar.com,https://www.domtar.com/,562920,Paper Recycling Facility,Paper
10,Donco Recycling Solutions,"737 N. Michigan Ave., Suite 1450, Chicago, IL, 60611", ,(312) 337-7822,info@doncosolutions.com,http://www.doncosolutions.com/,562920,Paper Recycling Facility,Paper
11,Eagle Paper International Inc.,"4605 Pembroke Lake Circle, Suite 100, Virginia Beach, VA, 23455", ,(757) 363-8103, ,http://www.eaglepaperinternational.com/,562920,Paper Recycling Facility,Paper
12,"Erving Industries, Inc.","97 East Main Street, Erving, MA, 01344", ,(413) 422-2700,erving@ervingpapermill.com,http://www.ervingpaper.com/,562920,Paper Recycling Facility,Paper
13,Evergreen Packaging LLC,"5350 Poplar Ave., Suite 600, Memphis, TN, 38119", ,(901) 821-5350, ,https://evergreenpackaging.com/,562920,Paper Recycling Facility,Paper
14,Finch Paper LLC,"1 Glen Street, Glens Falls, NY, 12801", ,(800) 833-9983,info@finchpaper.com,http://www.finchpaper.com/,562920,Paper Recycling Facility,Paper
15,Gabriel Container Co,"8844 S Millergrove Drive, Santa Fe Springs, CA, 90670", ,(562) 699-1051, ,https://gabrielcontainer.com/,562920,Paper Recycling Facility,Paper
16,Georgia-Pacific LLC,"133 Peachtree St, Atlanta, GA, 30303", ,(404) 652-4000, ,https://www.gp.com/,562920,Paper Recycling Facility,Paper
17,Glatfelter,"Capital Towers South, 4350 Congress Street, Suite 600, Charlotte, NC, 28209", ,(717) 850-0170,info@glatfelter.com,http://www.glatfelter.com/,562920,Paper Recycling Facility,Paper
18,Gorham Paper & Tissue,"72 Cascade Flt, Gorham, NH, 03581", ,(603) 342-2000,sales@gorhampt.com,http://www.gorhampt.com/,562920,Paper Recycling Facility,Paper
19,"Graphic Packaging International, LLC","1500 Riveredge Parkway NW, Atlanta, GA, 30328", ,(770) 240-7200, ,http://www.graphicpkg.com/,562920,Paper Recycling Facility,Paper
20,"Green Bay Packaging, Inc.","1700 Webster Court, Green Bay, WI , 54302", ,(920) 433-5111, ,https://gbp.com/,562920,Paper Recycling Facility,Paper
21,Green Field Paper Company,"7196 Clairemont Mesa Boulevard, San Diego, CA, 92111", ,(858) 565-2585,info@greenfieldpaper.com,https://www.greenfieldpaper.com/,562920,Paper Recycling Facility,Paper
22,Greenpac Mill,"4400 Royal Ave., Niagara Falls, NY, 14303", ,(716) 524-3100, ,http://www.greenpacmill.com/,562920,Paper Recycling Facility,Paper
23,Greif Inc.,"425 Winter Road City, Delaware, OH, 43015", ,(740) 549-6000, ,https://www.greif.com/,562920,Paper Recycling Facility,Paper
