OBJECTID,Name,Address,County,TELEPHONE,Email,Website,NAICS_Code,Infra_Type,Feedstock
1,A & A Wiping Cloth,"4400 Worth Street, Los Angeles, CA, 90063",Los Angeles,(323) 267-1516, ,www.aawiping.com,562920,Textiles Recycling Facility,Textiles
2,A-1 Liberty International Used Clothes & Shoes,"4411 Eastpark Drive, Houston, TX, 77028", ,(713) 672-6080, ,www.a1liberty.com,562920,Textiles Recycling Facility,Textiles
3,AJWA Rags LLC,"9990 East Freeway Suite C, Houston, TX, 77029", ,(832) 794-6284, , ,562920,Textiles Recycling Facility,Textiles
4,AMCLEX,"5761 NW 37 Avenue, Miami, FL, 33142", ,(305) 634-1757, ,www.amclex.com,562920,Textiles Recycling Facility,Textiles
5,"American Fiber & Finishing, Inc.","225 North Depot Street, Albemarle, NC, 28001", ,(978) 590-5508, ,www.affinc.com,562920,Textiles Recycling Facility,Textiles
6,"American Rags, Inc.","1360 Boyles Street, Houston, TX, 77020", ,(713) 675-7247, , ,562920,Textiles Recycling Facility,Textiles
7,"American Textile & Supply, Inc.","3439 Regatta Boulevard, Richmond, CA, 94804-4103", ,(510) 236-7424, ,www.americantex.com,562920,Textiles Recycling Facility,Textiles
8,Atlanta Recycling,"5125 Blalock Industrial Blvd, Atlanta, GA, 30349", ,(770) 997-7720, ,www.atlrecycling.com,562920,Textiles Recycling Facility,Textiles
9,Atlantic Clothing,"1825 Turning Basin, Houston, TX, 77029", ,(281) 781-3462, , ,562920,Textiles Recycling Facility,Textiles
10,Bay State Textiles Inc.,"17 Joseph St, Kingston, MA, 2364", ,(508) 415-3855, ,www.baystatetextiles.com,562920,Textiles Recycling Facility,Textiles
11,Brook Valley Management Inc,"4880 Valleydale Road, Birmingham, AL, 35242", ,(205) 408-6696, , ,562920,Textiles Recycling Facility,Textiles
12,"Bro-Tex, Inc.","800 Hampden Avenue, St. Paul, MN, 55114-1299", ,(651) 645-5721, ,www.brotex.com,562920,Textiles Recycling Facility,Textiles
13,Buffalo Export LLC,"99 South Spokane Street, Seattle, WA, 98134-2218", ,(206) 682-9900, ,www.buffaloexportllc.com,562920,Textiles Recycling Facility,Textiles
14,"Buffalo Industries, LLC","7979 S. 108th St., Kent, WA, 98032", ,(253) 277-1815, ,www.buffaloindustries.com,562920,Textiles Recycling Facility,Textiles
15,Carolina Textiles Inc.,"68 Anderson Road, Walterboro, SC, 29488", ,(843) 538-8644, , ,562920,Textiles Recycling Facility,Textiles
16,CN International,"137 Friendship CT, White Plains, NY, 10603", ,(646) 932-4426, ,www.cninternationalusa.com,562920,Textiles Recycling Facility,Textiles
17,"CYCLA, LLC","PO Box 1047, Granby, CO, 80446", ,(303) 234-0579, ,www.cyclallc.com,562920,Textiles Recycling Facility,Textiles
18,Cyntex Company,"7-11 Legion Drive, Valhalla, NY, 10595", ,(914) 471-4922, ,www.cyntexco.com,562920,Textiles Recycling Facility,Textiles
19,Dis Vintage LLC,"5600 NW 32nd Ave, Miami, FL, 33142", ,(305) 633-1250, ,www.disvintage.com,562920,Textiles Recycling Facility,Textiles
20,"E F Group Enterprises, Inc.","4440 PGA BLVD STE 600, Palm Beach Gardens, FL, 33410", ,(617) 416-0964, , ,562920,Textiles Recycling Facility,Textiles
21,ErexCorp,"708 Powder Mill Lane, Wynnewood, PA, 19096-4035", ,(610) 642-4410, ,www.erexcorp.com,562920,Textiles Recycling Facility,Textiles
22,Erie Cotton Products Co./Sanitary Wiping Cloth Co.,"1112 Bacon Street, Erie, PA, 16511", ,(814) 459-6644, ,www.eriecotton.com,562920,Textiles Recycling Facility,Textiles
23,Fab-Tech Company,"PO Box 127, Resisterstown, MD, 21136", ,(410) 356-8600, ,www.fabtechcompany.com,562920,Textiles Recycling Facility,Textiles
24,"Farbe, Inc.","18150 S. Figueroa Street, Gardena, CA, 90248", ,(714) 680-9876, ,www.itclinens.com,562920,Textiles Recycling Facility,Textiles
25,"Fibematics, Inc.","3313 Stokley Street, Philadelphia, PA, 19140", ,(215) 226-0908, ,www.fibematics.com,562920,Textiles Recycling Facility,Textiles
26,FLSC Recycling LLC dba Clothes Bin Franchise,"3911 SW 47 Ave, Suite 903, Davie, FL, 33314", ,(954) 212-9809, ,www.clothesbinfranchise.com,562920,Textiles Recycling Facility,Textiles
27,"Funds2Orgs, LLC dba Credential Shoes","6457 Hazeltine National Dr Unit 120, Orlando, FL, 32822", ,(407) 930-2979, ,www.credentialshoes.com,562920,Textiles Recycling Facility,Textiles
28,Fytertech Nonwovens LLC,"2121-B American Boulevard, De Pere, WI, 54115", ,(800) 615-8699, ,www.fytertech.com,562920,Textiles Recycling Facility,Textiles
29,"Garson & Shaw, LLC","887 W. Marietta Street, Office M-204, Atlanta, GA, 30318", ,(404) 879-9915, ,www.garsonshaw.com,562920,Textiles Recycling Facility,Textiles
30,Global Clothing Industries LLC,"300 Wharton Circle SW, Atlanta, GA, 30336", ,(404) 505-7339, ,www.gciatl.com,562920,Textiles Recycling Facility,Textiles
31,Goodfair,"6625 Supply Row, Houston, TX, 77011", ,(832) 282-0042, ,www.goodfair.com,562920,Textiles Recycling Facility,Textiles
32,Green Team Worldwide Environmental Group,"65 Triangle Blvd, Carlstadt, NJ, 7072", ,(201) 289-1039, ,www.greenteamworldwide.com,562920,Textiles Recycling Facility,Textiles
33,Green Zone Recycling LLC,"PO Box 38321, Greensboro, NC, 27438", ,(800) 767-1284, ,www.greenzonenc.com,562920,Textiles Recycling Facility,Textiles
34,Helpsy,"100 Springdale Rd Suite A3 PMB 293, Cherry Hill, NJ, 8003", ,(800) 244-6350, ,https://helpsy.com,562920,Textiles Recycling Facility,Textiles
35,House Of Rags Recycling,"5379 Lyons Rd #147, Coconut Creek, FL, 33073", ,(954) 683-6868, ,www.houseofragsrecycling.com,562920,Textiles Recycling Facility,Textiles
36,"Houston Rags, Inc.","2300 Schlumberger St., Houston, TX, 77023", ,(713) 921-2217, ,www.houstonragsinc.com,562920,Textiles Recycling Facility,Textiles
37,International Baler Corp./CBM CO.,"5400 Rio Grande Avenue, Jacksonville, FL, 32254", ,(904) 358-3812, ,www.int-baler.com,562920,Textiles Recycling Facility,Textiles
38,International Traiding Solutions,"8000 Ronda Dr, Canton, MI, 48187", ,(313) 922-1311, , ,562920,Textiles Recycling Facility,Textiles
39,JOSCO Products,"PO Box 17545, Austin, TX, 78760", ,(512) 443-1037, ,www.joscoproducts.com,562920,Textiles Recycling Facility,Textiles
40,Los Amigos Distribution Center Corp.,"2220 Sanchez St., Laredo, TX, 78040", ,(956) 727-1500, , ,562920,Textiles Recycling Facility,Textiles
41,Mednik - Riverbend,"6704 Romiss Court, St. Louis, MO, 63134", ,(314) 524-2200, ,http://riverbendtextiles.com/index.aspx,562920,Textiles Recycling Facility,Textiles
42,Mid-West Textile Co.,"1600 E. San Antonio, El Paso, TX, 79901", ,(915) 533-9811, ,http://www.mid-westtextile.com,562920,Textiles Recycling Facility,Textiles
43,Muran International Group,"200 Armstrong Rd, Garden City Park, NY, 11040", ,(516) 248-3830, ,https://www.muran.com,562920,Textiles Recycling Facility,Textiles
44,"Oscar Daniels Co., Inc.","PO Box 15074, Reading, PA, 19612", ,(610) 678-8144, ,www.pawipers.com,562920,Textiles Recycling Facility,Textiles
45,OVASCO Industries,"PO Box 504, Louisville, KY, 40201", ,(502) 584-2219, ,www.ovasco.com,562920,Textiles Recycling Facility,Textiles
46,"Rags 4 Less, LLC","3649 Conflans Road Suite #3633, Irving, TX, 75061", ,(626) 590-3555, ,www.rags4less.com,562920,Textiles Recycling Facility,Textiles
47,Reclaimed Textiles Co.,"10777 Shady Trail, Dallas, TX, 75220", ,(214) 638-7551, ,www.reclaimedtextiles.com,562920,Textiles Recycling Facility,Textiles
48,Recycle 2 Support,"900 Lakeside Pkwy, Flower Mound, TX, 75028", ,(972) 619-7900, ,www.nrs-tx.com,562920,Textiles Recycling Facility,Textiles
49,RFI Inc,"611 Commerce Dr, Largo, FL, 33770", ,(727) 240-0131, ,www.ragsforindustry.com,562920,Textiles Recycling Facility,Textiles
50,"SA3 Community Recycling, LLC","818 Chesnut 102, San Antonio, TX, 78202", ,(210) 538-2056, ,www.sa3communityrecycling.com,562920,Textiles Recycling Facility,Textiles
51,"Samiyatex (Paragon Textiles, Inc.)","13003 S. Figueroa St, Los Angeles, CA, 90061", ,(310) 323-7500, ,www.samiyatex.com,562920,Textiles Recycling Facility,Textiles
52,San Benito Textiles,"201 N. Travis St., San Benito, TX, 78586", ,(956) 361-0282, , ,562920,Textiles Recycling Facility,Textiles
53,"Sandler Brothers, Inc.","4131 Whiteside Street, Los Angeles, CA, 90063",Los Angeles,(323) 269-0494, ,www.sandlerbros.com,562920,Textiles Recycling Facility,Textiles
54,"Savers Recycling, Inc.","4101 K Industry Drive, East Fife, WA, 98422", ,(253) 209-4250, ,www.savers.com,562920,Textiles Recycling Facility,Textiles
55,Sort & Export Co.,"500 Markley St, Port Reading, NJ, 7064", ,(732) 636-4333, ,www.sortexport.com,562920,Textiles Recycling Facility,Textiles
56,St. Pauly Textile Inc.,"1067 Gateway Drive, Farmington, NY, 14425", ,(585) 292-0460, ,www.st-pauly.com,562920,Textiles Recycling Facility,Textiles
57,"Star Wipers, Inc.","1125 East Main St., Newark, OH, 43055", ,(740) 763-3112, ,www.starwipers.com,562920,Textiles Recycling Facility,Textiles
58,"Synergy In-Kind Donation Management, Inc.","1407 Kings Highway Unit #422, Sugar Loaf, NY, 10981", ,(845) 234-3230, ,www.clothingdrivefundraiser.com,562920,Textiles Recycling Facility,Textiles
59,"Texas Towel & Supply, Inc.","1234 Kress St, Houston, TX, 77020", ,(713) 678-7367, ,www.txtowel.com,562920,Textiles Recycling Facility,Textiles
60,"Textile Recycler, Inc.","13131 Almeda Road, Houston, TX, 77045", ,(713) 434-7247, ,www.txrecycler.com,562920,Textiles Recycling Facility,Textiles
61,Textile Waste Supply Company,"PO Box 290060, Charlestown, MA, 02129-0001", ,(617) 241-8100, ,www.textilebuff.com,562920,Textiles Recycling Facility,Textiles
62,"The Standard Companies, Inc.","2601 S. Archer Ave., Chicago, IL, 60608", ,(312) 225-2777, ,www.thestandardcompanies.com,562920,Textiles Recycling Facility,Textiles
63,ThredUP,"2670 Breckinridge Blvd, Duluth, GA, 30296", ,(678) 592-0027, ,www.thredup.com,562920,Textiles Recycling Facility,Textiles
64,"Til-Mar Textiles, Inc.","PO Box 941, Shelby, NC, 28150", ,(704) 484-3051, ,www.til-mar.com,562920,Textiles Recycling Facility,Textiles
65,Trans-Americas Trading Company,"50 Carol Street, Clifton, NJ, 7014", ,(973) 778-4611, ,www.tranclo.com,562920,Textiles Recycling Facility,Textiles
66,Tranzonic Companies,"26301 Curtiss Wright Pkway, Richmond Heights, OH, 44143", ,(800) 553-7979, ,www.tranzonic.com,562920,Textiles Recycling Facility,Textiles
