OBJECTID,Name,Address,County,TELEPHONE,Email,Website,NAICS_Code,Infra_Type,Feedstock
1,ABCA Recycling,"40 McWhirter Road, Kearny, NJ, 07032", ,(201) 997-5600,lewjr@abcarecycling.com,http://www.abcarecycling.com/,562920,Glass Recycling Facility,Glass
2,AGSCO Corporation,"160 W Hintz Rd, Wheeling, IL, 60090", ,(847) 520-4455,eaustin@agsco.com,http://www.agsco.com/,562920,Glass Recycling Facility,Glass
3,American Specialty Glass,"829 N 400 W, North Salt Lake, UT, 84054", ,(801) 294-4222,info@asgglass.com,http://www.americanspecialtyglass.com/,562920,Glass Recycling Facility,Glass
4,"Arim, Inc.","154 West Edsall Blvd., Palisades Park, NJ, 07650", ,(201) 645-1814,cs@arimstone.com,https://www.arimstone.com/,562920,Glass Recycling Facility,Glass
5,Black Beauty Abrasives,"350 Poplar Church Road, Camp Hill, PA, 17011", ,(717) 506-2071,reedcs@harsco.com,http://www.blackbeautyabrasives.com/,562920,Glass Recycling Facility,Glass
6,CAP Glass,"1556 Mt. Pleasant, Connellsville Road, Mt. Pleasant, PA, 15666", ,(724) 547-4550, ,http://capglassrecycling.com/,562920,Glass Recycling Facility,Glass
7,Cascade Eco Minerals LLC,"2401 E 32nd St., Ste. 10 PMB 344, Joplin, MO, 64804", ,(541) 516-1100,info@cascadeem.com,https://www.cascadeecominerals.com/,562920,Glass Recycling Facility,Glass
8,"Concord Terrazzo Company, Inc.","1818 University Commercial Place, Charlotte, NC, 28213", ,(704) 921-4928,info@terrazzco.com,http://terrazzco.com/,562920,Glass Recycling Facility,Glass
9,"Conigliaro Block, Inc.","701 Waverly Street, Framingham, MA, 01702", ,(508) 872-9668,greg@conigliaro.com,http://www.conigliaroblock.com/,562920,Glass Recycling Facility,Glass
10,Dlubak Glass Company,"789 County Highway 330, Upper Sandusky, OH, 43351", ,(419) 209-0900,sales@dlubak.com,http://dlubak.com/,562920,Glass Recycling Facility,Glass
11,Elcan Industries Inc.,"20 Marbledale Road, Tuckahoe, NY, 10707", ,(914) 381-7500,info@elcanindustries.com,https://elcanindustries.com/,562920,Glass Recycling Facility,Glass
