OBJECTID,Name,Address,Phone,Website,NAICS_Code,NAICS_Info,MarketType,Materials,Latitude,Longitude
1,"Mundy, Charles & Kay","1 Brief St, Anniston, AL, 36206-1487",(256) 820-9148, ,327215,Glass Product Manufacturing Made of Purchased Glass,Potential Secondary End Market,Glass,33.712222,-85.83744
2,Canner Incorporated,"1 Cannery Row, West Groton, MA, 01472",(978) 448-3063,www.canner.com,327215,Glass Product Manufacturing Made of Purchased Glass,Potential Secondary End Market,Glass,42.6041,-71.6277
3,"Executive Mirror Doors, Inc.","1 Comac Loop Unit 7, Ronkonkoma, NY, 11779-6816",(631) 234-1090,www.executivearchitecturalmillwork.com,327215,Glass Product Manufacturing Made of Purchased Glass,Potential Secondary End Market,Glass,40.791483,-73.14799
4,"J.E. Berkowitz, L.P.","1 Gateway Blvd, Pedricktown, NJ, 08067-3629",(856) 456-7800,www.jeberkowitz.com,327215,Glass Product Manufacturing Made of Purchased Glass,Potential Secondary End Market,Glass,39.741974,-75.40743
5,Ardagh Glass Inc.,"1 Glass Pl, Port Allegany, PA, 16743-1154",(814) 642-2521,www.ardaghgroup.com,327215,Glass Product Manufacturing Made of Purchased Glass,Potential Secondary End Market,Glass,41.817285,-78.28838
6,"Klein Usa, Inc.","1 Madison St Ste F, East Rutherford, NJ, 07073-1605",(973) 246-8181,www.klein-usa.com,327215,Glass Product Manufacturing Made of Purchased Glass,Potential Secondary End Market,Glass,40.848711,-74.11706
7,"Mth Enterprises, LLC","1 Mth Plz, Hillside, IL, 60162-1436",(708) 498-1100,www.mthindustries.com,327215,Glass Product Manufacturing Made of Purchased Glass,Potential Secondary End Market,Glass,41.8764,-87.9067
8,"Oldcastle Buildingenvelope, Inc.","1 Seagate Ste 1750, Toledo, OH, 43604-1584",(419) 887-1212,www.obe.com,327215,Glass Product Manufacturing Made of Purchased Glass,Potential Secondary End Market,Glass,41.653287,-83.53109
9,Jablon Studios LLC,"10 Alice St, Binghamton, NY, 13904-1503",(607) 239-8721,www.jablonstudios.com,327215,Glass Product Manufacturing Made of Purchased Glass,Potential Secondary End Market,Glass,42.104464,-75.89325
10,Femenella & Associates Inc.,"10 County Line Rd Ste 24, Branchburg, NJ, 08876-6009",(908) 722-6526,www.femenellaassociates.com,327215,Glass Product Manufacturing Made of Purchased Glass,Potential Secondary End Market,Glass,40.609237,-74.71555
11,Ball Corporation,"10 Longs Peak Dr, Broomfield, CO, 80021-2510", ,www.ball.com,327215,Glass Product Manufacturing Made of Purchased Glass,Potential Secondary End Market,Glass,39.913082,-105.1018
12,Premier Glass,"10 River Rd, McKeesport, PA, 15132-3837",(412) 678-7736, ,327215,Glass Product Manufacturing Made of Purchased Glass,Potential Secondary End Market,Glass,40.338075,-79.86344
