GHGRP ID,Landfill ID,Landfill Name,State,Physical Address,City,County,Zip Code,Latitude,Longitude,Ownership Type,Landfill Owner Organization(s),Year Landfill Opened,Landfill Closure Year,Current Landfill Status,Waste in Place (tons),Waste in Place Year,LFG Collection System In Place?,LFG Collected (mmscfd),LFG Flared (mmscfd),Project ID,Current Project Status,Project Name,Project Start Date,Project Shutdown Date,Project Type Category,LFG Energy Project Type,RNG Delivery Method,Actual MW Generation,Rated MW Capacity,LFG Flow to Project (mmscfd),Current Year Emission Reductions (MMTCO2e/yr) - Direct,Current Year Emission Reductions (MMTCO2e/yr) - Avoided
1007341,1994,Anchorage Regional Landfill,AK,15500 E. Eagle River Loop Road,Eagle River,Anchorage,99577,61.293281,-149.602138,Public,"Municipality of Anchorage, AK",1987,2043,Open,"11,008,984",2022,Yes,4.066,1.915,167079-0,Operational,Project #1,7/31/2012,,Electricity,Reciprocating Engine,,3.82,5.6,1.725,0.1933,0.0184
1007341,1994,Anchorage Regional Landfill,AK,15500 E. Eagle River Loop Road,Eagle River,Anchorage,99577,61.293281,-149.602138,Public,"Municipality of Anchorage, AK",1987,2043,Open,"11,008,984",2022,Yes,4.066,1.915,167079-1,Operational,"Project #1, Expansion #1",1/1/2014,,Electricity,Reciprocating Engine,,0.96,1.4,0.431,0.0486,0.0046
1010389,11941,Capitol Disposal Landfill,AK,5600 Tonsgard Court,Juneau,Juneau,99801,58.3528,-134.4947,Private,WM,1965,2049,Open,"1,008,308",2022,Yes,0.614,0.614,181066-0,Candidate,,,,Unknown,Unknown,,,,,,
1005349,12216,Central Peninsula Landfill (CPL),AK,46915 Sterling Highway,Soldotna,Kenai Peninsula,99669,60.443004,-151.107896,Public,"Kenai Peninsula Borough, AK",1969,2042,Open,"1,810,714",2022,No,,,181138-0,Planned,Project #1,12/31/2025,,Electricity,Cogeneration,,,1.6,,,
,10960,Kodiak Island Borough Landfill,AK,1203 Monashka Bay Road,Kodiak,Kodiak Island,99615,57.80874,-152.40761,Public,"Kodiak Island Borough, AK",,2014,Closed,"228,688",2007,No,,,180941-0,Low Potential,,,,Unknown,Unknown,,,,,,
1004380,11020,Merrill Field Landfill,AK,800 Merrill Field Drive,Anchorage,Anchorage,99501,61.21266,-149.84012,Public,"Municipality of Anchorage, AK",1960,1987,Closed,"3,295,353",1987,Yes,0.117,0.117,180945-0,Low Potential,,,,Unknown,Unknown,,,,,,
1011448,10980,Palmer Central Landfill,AK,"1201 N. 49th State Street
Just off the Palmer-Wasilla Highway",Palmer,Matanuska-Susitna,99645,61.59,-149.21,Public,"Matanuska-Susitna Borough, AK",1980,2150,Open,"2,200,139",2022,Yes,0.263,0.263,180943-0,Candidate,,,,Unknown,Unknown,,,,,,
1006806,10961,South Cushman Landfill,AK,455 Sanduri Street,Fairbanks,Fairbanks North Star,99701,64.80476,-147.70085,Public,"Fairbanks North Star Borough, AK",1963,2082,Open,"4,710,091",2022,No,,,180942-0,Candidate,,,,Unknown,Unknown,,,,,,
,11000,Unalaska Landfill,AK,1181 Summer Bay Road,Unalaska,Aleutians West,99685,53.88463,-166.50657,Public,City of Unalaska,1970,2013,Closed,,,Unknown,,,180944-0,Unknown,,,,Unknown,Unknown,,,,,,
1001297,10860,Arrowhead Landfill,AL,"On Cahaba Road
622 Tayloe Road",Uniontown,Perry,36786,32.413,-87.4685,Private,Arrowhead Environmental Partners,2007,2099,Open,"6,357,488",2022,No,,,180934-0,Candidate,,,,Unknown,Unknown,,,,,,
