OBJECTID,Name,Address,Phone,Website,NAICS_Code,NAICS_Info,MarketType,Materials,Latitude,Longitude
1,Plus Mark LLC,"1 American Rd, Cleveland, OH, 44144-2354",(216) 252-6770,www.americangreetings.com,322121,Paper (except Newsprint) Mills,Potential Primary End Market,"Paper, Wood",41.437233,-81.75816
2,Kimberly-Clark Corporation,"1 Avenue of The States, Chester, PA, 19013-4471",(610) 874-4331,www.huggies.com,322121,Paper (except Newsprint) Mills,Potential Primary End Market,"Paper, Wood",39.843963,-75.35658
3,Ed Touchette Design,"1 Banner Hill Way, Gloucester, MA, 01930-4514",(978) 281-1491,www.unclehams.com,322121,Paper (except Newsprint) Mills,Potential Primary End Market,"Paper, Wood",42.60633,-70.6507
4,Toprak Group Corp.,"1 Beekman St Rm 510, New York, NY, 10038-2210", , ,322110,Pulp Mills,Potential Primary End Market,"Paper, Wood",40.711573,-74.00691
5,Tranlin Trading LLC,"1 Boars Head Pl Ste 100, Charlottesville, VA, 22903-4628",(866) 215-8290,www.vastly.com,322121,Paper (except Newsprint) Mills,Potential Primary End Market,"Paper, Wood",38.050013,-78.54188
6,International Paper Company,"1 Bonnybridge Rd, Savannah, GA, 31407-1312",(912) 964-1271,www.internationalpaper.com,322121,Paper (except Newsprint) Mills,Potential Primary End Market,"Paper, Wood",32.15752,-81.16268
7,"Brownville Specialty Paper Products, Inc.","1 Bridge St, Brownville, NY, 13615-7765", ,www.bspp.com,322130,Paperboard Mills,Potential Primary End Market,Paper,44.0032,-75.9887
8,"Crane Security Technologies, Inc.","1 Cellu Dr, Nashua, NH, 03063-1008",(603) 881-1860,www.cranecurrency.com,322121,Paper (except Newsprint) Mills,Potential Primary End Market,"Paper, Wood",42.798902,-71.53354
9,"Kemira Chemicals, Inc.","1 Cyanamid Rd, Mobile, AL, 36610-2513",(251) 457-6601,www.kemira.com,322121,Paper (except Newsprint) Mills,Potential Primary End Market,"Paper, Wood",30.747861,-88.06449
10,C Lewin FN Pprs,"1 Doral Greens Dr W, Rye Brook, NY, 10573-5403",(914) 934-0435, ,322121,Paper (except Newsprint) Mills,Potential Primary End Market,"Paper, Wood",41.04444,-73.68518
11,"Novolex Holdings, LLC","1 Duro Way, Walton, KY, 41094-9325", ,www.novolex.com,322121,Paper (except Newsprint) Mills,Potential Primary End Market,"Paper, Wood",38.921102,-84.61055
12,McKinley Paper Company,"1 E Sauz St, Rio Grande City, TX, 78582-6371",(956) 487-7424,www.biopappel.com,322130,Paperboard Mills,Potential Primary End Market,Paper,26.358,-98.775
