OBJECTID,Name,Address,Phone,Website,NAICS_Code,NAICS_Info,MarketType,Materials,Latitude,Longitude
1,Nupco Inc.,"06561 County Road 66a, New Bremen, OH, 45869-9615",(419) 629-2259,www.nupcoplastictubing.com,326122,Plastics Pipe and Pipe Fitting Manufacturing,Potential Primary End Market,Plastics,40.445628,-84.38839
2,"Madico, Inc.","1 Adele Rd, Woburn, MA, 01801-1912", ,www.madico.com,326113,Unlaminated Plastics Film and Sheet (except Packaging) Manufacturing,Potential Primary End Market,Plastics,42.504833,-71.14455
3,Blispak Acquisition Corporation,"1 Apollo Dr Ste 3, Whippany, NJ, 07981-1424",(973) 884-4141, ,326112,Plastics Packaging Film and Sheet (including Laminated) Manufacturing,Potential Primary End Market,Plastics,40.825928,-74.43554
4,Berry Plastics Corporation,"1 Armin Rd, Pryor, OK, 74361",(918) 824-4400, ,326113,Unlaminated Plastics Film and Sheet (except Packaging) Manufacturing,Potential Primary End Market,Plastics,36.2888,-95.3017
5,The Soundcoat Company Inc,"1 Burt Dr, Deer Park, NY, 11729-5756",(631) 242-2200,www.soundcoat.com,326150,Urethane and Other Foam Product (except Polystyrene) Manufacturing,Potential Primary End Market,Plastics,40.76181,-73.30559
6,Snf Holding Company,"1 Chemical Plant Rd, Riceboro, GA, 31323-3253",(912) 884-3366,www.snf.us,325212,Synthetic Rubber Manufacturing,Potential Primary End Market,Plastics,31.744532,-81.43763
7,Snf Inc.,"1 Chemical Plant Rd, Riceboro, GA, 31323-3253",(912) 884-3366,www.snf.us,325212,Synthetic Rubber Manufacturing,Potential Primary End Market,Plastics,31.744532,-81.43763
8,"Bunzl Distribution Northeast, LLC","1 Cityplace Dr, Saint Louis, MO, 63141-7014",(314) 997-5959,www.bunzldistribution.com,326112,Plastics Packaging Film and Sheet (including Laminated) Manufacturing,Potential Primary End Market,Plastics,38.672041,-90.43879
9,Pioneer Plastics Corporation,"1 Corporate Dr Ste 725, Shelton, CT, 06484-6230",(203) 925-1556,www.panolam.com,326130,"Laminated Plastics Plate, Sheet (except Packaging), and Shape Manufacturing",Potential Primary End Market,Plastics,41.276274,-73.1295
10,Lelanite Corporation,"1 Cudworth Rd, Webster, MA, 01570-3102",(508) 987-2637,www.lelanite.com,326150,Urethane and Other Foam Product (except Polystyrene) Manufacturing,Potential Primary End Market,Plastics,42.066262,-71.85698
11,Novapak Corporation,"1 Devco Dr, Manchester, PA, 17345-1337",(717) 266-6687, ,326160,Plastics Bottle Manufacturing,Potential Primary End Market,Plastics,40.044982,-76.7205
12,"Teijin-Du Pont Films, Incorporated","1 Discovery Dr, Hopewell, VA, 23860",(804) 530-9310,www.teijin-dupontfilms.com,326113,Unlaminated Plastics Film and Sheet (except Packaging) Manufacturing,Potential Primary End Market,Plastics,37.2874,-77.2888
13,Adams Manufacturing Corp,"1 Early St, Ellwood City, PA, 16117-2255",(724) 758-2125,www.adamsmfg.com,326130,"Laminated Plastics Plate, Sheet (except Packaging), and Shape Manufacturing",Potential Primary End Market,Plastics,40.855193,-80.27978
14,"Poli-Film America, Inc.","1 Elgiloy Dr, Hampshire, IL, 60140-8238",(847) 453-8104,www.polifilm.com,326113,Unlaminated Plastics Film and Sheet (except Packaging) Manufacturing,Potential Primary End Market,Plastics,42.152449,-88.51363
15,"Dryvit Holdings, Inc","1 Energy Way, Providence, RI, 02903",(401) 822-4100,www.dryvit.com,325212,Synthetic Rubber Manufacturing,Potential Primary End Market,Plastics,41.8207,-71.4124
16,Sanderson Pipe Corporation,"1 Enterprise Blvd, Sanderson, FL, 32087-9501",(904) 275-3289,www.sandersonpipe.com,326122,Plastics Pipe and Pipe Fitting Manufacturing,Potential Primary End Market,Plastics,30.253172,-82.25464
17,"Flexcon Company, Inc.","1 Flexcon Industrial Park, Spencer, MA, 01562-2643",(508) 885-8200,www.flexcon.com,326113,Unlaminated Plastics Film and Sheet (except Packaging) Manufacturing,Potential Primary End Market,Plastics,42.233489,-72.01183
18,Simona Boltaron Inc.,"1 General St, Newcomerstown, OH, 43832-1230",(740) 498-5900,www.boltaron.com,326113,Unlaminated Plastics Film and Sheet (except Packaging) Manufacturing,Potential Primary End Market,Plastics,40.278888,-81.59045
19,"Free-Flow Packaging International, Inc.","1 Graham Way, Hopkinsville, KY, 42240-6830",(270) 228-4392,www.fpintl.com,326150,Urethane and Other Foam Product (except Polystyrene) Manufacturing,Potential Primary End Market,Plastics,36.798311,-87.39691
20,Shriji Polymers LLC,"1 Graphics Dr, Ewing, NJ, 08628-1547",(609) 906-2355, ,326160,Plastics Bottle Manufacturing,Potential Primary End Market,Plastics,40.275583,-74.79782
21,"Pmc, Inc.","1 Gusmer Dr, Lakewood, NJ, 08701", ,www.pmcglobalinc.com,326150,Urethane and Other Foam Product (except Polystyrene) Manufacturing,Potential Primary End Market,Plastics,40.055969,-74.18237
22,"Ring Container Technologies, Llc.","1 Industrial Park, Oakland, TN, 38060-4048",(800) 280-7464,www.ringcompanies.com,326160,Plastics Bottle Manufacturing,Potential Primary End Market,Plastics,35.222033,-89.5176
23,"Ringwood Containers, L.P.","1 Industrial Park, Oakland, TN, 38060-4048",(901) 465-3607,www.ringcompanies.com,326160,Plastics Bottle Manufacturing,Potential Primary End Market,Plastics,35.222033,-89.5176
24,Renupack LLC,"1 Industrial Way W C-E, Eatontown, NJ, 07724-2255",(732) 724-9765, ,326113,Unlaminated Plastics Film and Sheet (except Packaging) Manufacturing,Potential Primary End Market,Plastics,40.276167,-74.04619
25,Inteplast Films Corporation,"1 Inteplast Dr, Morristown, TN, 37814",(423) 581-6990,www.viamfilms.com,326113,Unlaminated Plastics Film and Sheet (except Packaging) Manufacturing,Potential Primary End Market,Plastics,36.2233,-83.3163
26,Foamex L.P.,"1 Laminite Dr 2, Morristown, TN, 37813-2892",(423) 581-8455,www.fxi.com,326150,Urethane and Other Foam Product (except Polystyrene) Manufacturing,Potential Primary End Market,Plastics,36.203267,-83.31215
