OBJECTID,Name,Address,Phone,Website,NAICS_Code,NAICS_Info,MarketType,Materials,Latitude,Longitude
1,Renco Corporation,"1 Beaver Dam Rd Ste 6, Manchester, MA, 01944-1298",(978) 526-8494,www.rencogloves.com,326299,All Other Rubber Product Manufacturing,Potential Primary End Market,Rubber,42.594183,-70.75897
2,Cord Shorts and Flip Flops LLC,"1 Blackfield Dr, Belvedere Tiburon, CA, 94920-2053", , ,326299,All Other Rubber Product Manufacturing,Potential Primary End Market,Rubber,37.89912,-122.501129
3,Sirri LLC,"1 Brandywine Dr, Deer Park, NY, 11729-5721", ,www.sirriaz.com,324121,Asphalt Paving Mixture and Block Manufacturing,Potential Primary End Market,Rubber,40.761176,-73.309569
4,A Lunar Effect LLC,"1 Center St, Dennison, OH, 44621-1429",(330) 340-8769, ,326291,Rubber Product Manufacturing for Mechanical Use,Potential Primary End Market,Rubber,40.392442,-81.337703
5,"Pennsy Supply, Inc.","1 Clear Spring Rd, Annville, PA, 17003-9054",(717) 867-5925,www.pennsysupply.com,324121,Asphalt Paving Mixture and Block Manufacturing,Potential Primary End Market,Rubber,40.324335,-76.540823
6,Southeastern Rubber Co Inc,"1 Community Rd, Felton, GA, 30140",(770) 646-3828, ,326291,Rubber Product Manufacturing for Mechanical Use,Potential Primary End Market,Rubber,33.8593,-85.2451
7,Tillotson,"1 Cranberry Hl Ste 105, Lexington, MA, 02421-7397", , ,326299,All Other Rubber Product Manufacturing,Potential Primary End Market,Rubber,42.445333,-71.264099
8,Haviland Corporation,"1 Elmer Ln, Linn, MO, 65051",(573) 897-3672,www.havilandcorp.com,326299,All Other Rubber Product Manufacturing,Potential Primary End Market,Rubber,38.4743,-91.8143
9,"Zhongding Sealing Parts (usa), Inc.","1 Factory St, Baltic, OH, 43804", , ,326299,All Other Rubber Product Manufacturing,Potential Primary End Market,Rubber,40.437634,-81.704969
10,"Macdermid Graphics Solutions, LLC","1 Harmony St, Adams, MA, 01220-1801", ,www.graphics.macdermid.com,326299,All Other Rubber Product Manufacturing,Potential Primary End Market,Rubber,42.616381,-73.124532
11,"Paco Label Systems, Inc.","1 Hombre Dr, Tyler, TX, 75707",(903) 561-2125,www.pacolabel.com,326299,All Other Rubber Product Manufacturing,Potential Primary End Market,Rubber,32.281641,-95.247836
12,"Tarco, Inc.","1 Information Way Ste 225, Little Rock, AR, 72202-2291",(501) 945-4506,www.tarcoroofing.com,324122,Asphalt Shingle and Coating Materials Manufacturing,Potential Primary End Market,Rubber,34.771179,-92.307326
13,Manville Johns Corporation,"1 Kaycee Loop Rd, Plattsburgh, NY, 12901-2010",(518) 565-3000,www.jm.com,324122,Asphalt Shingle and Coating Materials Manufacturing,Potential Primary End Market,Rubber,44.691182,-73.500417
14,"Camso Manufacturing Usa, Ltd.","1 Martina Cir, Plattsburgh, NY, 12901-7421",(518) 561-7528, ,326291,Rubber Product Manufacturing for Mechanical Use,Potential Primary End Market,Rubber,44.689784,-73.513146
15,"H&K Group, Inc.","1 Quarry Rd, Douglassville, PA, 19518-1906",(610) 326-3098,www.hkgroup.com,324121,Asphalt Paving Mixture and Block Manufacturing,Potential Primary End Market,Rubber,40.259581,-75.682879
16,Griswold LLC,"1 River St, Moosup, CT, 06354-1309",(860) 564-3321,www.griswoldllc.com,326299,All Other Rubber Product Manufacturing,Potential Primary End Market,Rubber,41.715067,-71.879944
17,4 OEM Plastics LLC,"1 Sarazen CT, San Antonio, TX, 78257-1709",(602) 501-7068, ,326220,Rubber and Plastics Hoses and Belting Manufacturing,Potential Primary End Market,"Plastics, Rubber",29.648702,-98.611412
18,"Peckham Industries, Inc.","1 Seaview Ave, Bridgeport, CT, 06607-2432",(203) 334-1107,www.peckham.com,324121,Asphalt Paving Mixture and Block Manufacturing,Potential Primary End Market,Rubber,41.16725,-73.165797
19,Mvp Sealcoating Limited Liability Company,"1 Snowbird CT Unit 9, Vernon, NJ, 07462-5588", , ,324122,Asphalt Shingle and Coating Materials Manufacturing,Potential Primary End Market,Rubber,41.187526,-74.512757
20,Shreiner Sole Co Inc,"1 Taylor Dr, Killbuck, OH, 44637",(330) 276-6135,www.shreinerco.com,326299,All Other Rubber Product Manufacturing,Potential Primary End Market,Rubber,40.4862,-82.0109
21,Vista Outdoor Sales LLC,"1 Vista Way, Anoka, MN, 55303-6794",(763) 323-2414,www.vistaoutdoor.com,326299,All Other Rubber Product Manufacturing,Potential Primary End Market,Rubber,45.213083,-93.412021
22,Cuyuna Black Sealcoating LLC,"1 W Main St, Crosby, MN, 56441-1421", , ,324122,Asphalt Shingle and Coating Materials Manufacturing,Potential Primary End Market,Rubber,46.482462,-93.952479
23,Henderson Aquatic Inc,"1 Whitall Ave, Millville, NJ, 08332-3988",(856) 825-4771,www.hendersonusa.com,326299,All Other Rubber Product Manufacturing,Potential Primary End Market,Rubber,39.384437,-75.030789
24,"Yasufuku U.S.A., Inc.","1 Yasufuku Pl, Lagrange, GA, 30240-5808",(706) 298-0075,www.yuinc.com,326291,Rubber Product Manufacturing for Mechanical Use,Potential Primary End Market,Rubber,32.99927,-85.052194
25,"Wireless Mic Belts, LLC","10 Benning St Ste 164, West Lebanon, NH, 03784-3402",(603) 865-5347,www.wirelessmicbelts.com,326220,Rubber and Plastics Hoses and Belting Manufacturing,Potential Primary End Market,"Plastics, Rubber",43.632892,-72.316632
26,Manville Johns Corporation,"10 Bunkerhill Pkwy, West Boylston, MA, 01583-2004",(774) 261-8500,www.jm.com,324122,Asphalt Shingle and Coating Materials Manufacturing,Potential Primary End Market,Rubber,42.347993,-71.780133
27,"Gordon Rubber and Packing Company, Incorporated","10 Cemetery Ave, Derby, CT, 06418-1604",(203) 735-7441,www.gordonrubberandpacking.com,326299,All Other Rubber Product Manufacturing,Potential Primary End Market,Rubber,41.322833,-73.094632
28,"Tellus Technology, Inc.","10 Corbin Dr Ste 210, Darien, CT, 06820-5403",(646) 265-7960,www.tellustechinc.com,326299,All Other Rubber Product Manufacturing,Potential Primary End Market,Rubber,41.074751,-73.471943
29,Iris Rubber Company Inc,"10 E Jackson St, Cicero, IN, 46034-5040",(317) 984-3561,www.irisrubber.com,326299,All Other Rubber Product Manufacturing,Potential Primary End Market,Rubber,40.132348,-86.013174
30,Rocky's Sealcoating LLC,"10 Heidl Ave, West Long Branch, NJ, 07764-1520", , ,324122,Asphalt Shingle and Coating Materials Manufacturing,Potential Primary End Market,Rubber,40.297562,-74.008521
31,Flexaust Inc,"10 Industrial Way Ste 2, Amesbury, MA, 01913-3222",(978) 388-1005,www.flexaust.com,326220,Rubber and Plastics Hoses and Belting Manufacturing,Potential Primary End Market,"Plastics, Rubber",42.855689,-70.907038
32,Contitech Thermopol LLC,"10 Interstate Dr, Somersworth, NH, 03878-1209",(603) 692-6300,www.continental-industry.com,326220,Rubber and Plastics Hoses and Belting Manufacturing,Potential Primary End Market,"Plastics, Rubber",43.261408,-70.905811
33,L&E Floorcovering,"10 Mellen St, Hopedale, MA, 01747-1526",(508) 473-0723, ,326299,All Other Rubber Product Manufacturing,Potential Primary End Market,Rubber,42.112031,-71.510165
34,Farmchem Corp.,"10 N Washington Ave # 300, Mason City, IA, 50401-3252",(641) 423-0741,www.farmchem.com,326299,All Other Rubber Product Manufacturing,Potential Primary End Market,Rubber,43.152028,-93.202778
35,"Microcare, Inc","10 Perriwinkle Cir, Stuart, FL, 34996-6604",(772) 287-9998, ,326299,All Other Rubber Product Manufacturing,Potential Primary End Market,Rubber,27.210023,-80.204868
36,"Driveway Medics, LLC","10 Vista CT, Seekonk, MA, 02771-2319",(508) 761-6921, ,324122,Asphalt Shingle and Coating Materials Manufacturing,Potential Primary End Market,Rubber,41.895475,-71.321403
37,Beaver Run Farms,"10 Wagaraw Rd, Hawthorne, NJ, 07506-2704",(973) 427-1000,www.shotmeyerbros.com,324121,Asphalt Paving Mixture and Block Manufacturing,Potential Primary End Market,Rubber,40.937451,-74.164369
