OBJECTID,Name,Address,Phone,Website,NAICS_Code,NAICS_Info,MarketType,Materials,Latitude,Longitude
1,"Cureate Your Canvas, Inc.","0650 SW Gaines St APT 111, Portland, OR, 97239-4411",(917) 330-2422, ,313210,Broadwoven Fabric Mills,Potential Primary End Market,Textiles,45.496397,-122.6714
2,"Anchor and Canvas Solutions, Inc.","1 43rd St Bldg C, Brooklyn, NY, 11232-2618",(718) 986-8234, ,313210,Broadwoven Fabric Mills,Potential Primary End Market,Textiles,40.655192,-74.0164
3,"Parkdale Mills, Incorporated","1 Advanced Technology Dr, Hillsville, VA, 24343-2701",(276) 728-1001,www.parkdalemills.com,313110,"Fiber, Yarn, and Thread Mills",Potential Primary End Market,Textiles,36.77257,-80.71713
4,"Atkins & Pearce, Inc.","1 Braid Way, Covington, KY, 41017-9435",(859) 356-2001,www.atkinsandpearce.com,313220,Narrow Fabric Mills and Schiffli Machine Embroidery,Potential Primary End Market,Textiles,39.009845,-84.52835
5,"Chf Industries, Inc.","1 Bridge St Ste 130, Irvington, NY, 10533-1552",(212) 951-7800,www.chfindustries.com,313210,Broadwoven Fabric Mills,Potential Primary End Market,Textiles,41.041021,-73.87319
6,"Rontex America, Inc.","1 Caldwell Dr, Amherst, NH, 03031-2310",(603) 883-5076,www.rontexamerica.com,313230,Nonwoven Fabric Mills,Potential Primary End Market,Textiles,42.809067,-71.57358
7,"Canvas Artistry, LLC","1 Central Ave NW Ste 3, Albuquerque, NM, 87102-4526",(505) 639-5214,www.canvas-artistry.com,313210,Broadwoven Fabric Mills,Potential Primary End Market,Textiles,35.084066,-106.6476
8,"Top Stitch Marine Canvas, LLC","1 Chattam CT, Parkville, MD, 21234-1374", , ,313210,Broadwoven Fabric Mills,Potential Primary End Market,Textiles,39.407128,-76.49109
9,Hafner LLC,"1 Cleveland St, Gordonsville, VA, 22942-7577", , ,313240,Knit Fabric Mills,Potential Primary End Market,Textiles,38.138853,-78.19494
10,"Batson Group, Inc.","1 Club Rd, Greenville, SC, 29609-3605",(864) 242-5262,www.lpbatson.com,313230,Nonwoven Fabric Mills,Potential Primary End Market,Textiles,34.883774,-82.4066
11,Lydall Thermal Acoustical Inc,"1 Colonial Rd, Manchester, CT, 06042-2307",(860) 646-1233,www.lydall.com,313230,Nonwoven Fabric Mills,Potential Primary End Market,Textiles,41.796832,-72.50601
12,Blank Canvas Pictures L.L.C.,"1 Conway CT, New City, NY, 10956-1137", , ,313210,Broadwoven Fabric Mills,Potential Primary End Market,Textiles,41.149335,-74.02905
13,"Fayce, LLC","1 Cottage St 517, Easthampton, MA, 01027-1672",(845) 591-0682,www.faycetextiles.com,313110,"Fiber, Yarn, and Thread Mills",Potential Primary End Market,Textiles,42.265347,-72.66848
14,"Chelsea Textiles, Ltd. U.S.A.","1 County Rd Ste 8b, Secaucus, NJ, 07094-4505",(908) 233-5645,www.chelseatextiles.com,313210,Broadwoven Fabric Mills,Potential Primary End Market,Textiles,40.7649,-74.0694
15,Ruby Ventures Inc,"1 Duck Point Trl, Wharton, NJ, 07885-2953",(973) 663-5551,www.embroiderthis.net,313110,"Fiber, Yarn, and Thread Mills",Potential Primary End Market,Textiles,40.97294,-74.5969
16,Brilliant Design LLC,"1 Executive Dr APT 614, Fort Lee, NJ, 07024-3343",(646) 647-9358, ,313210,Broadwoven Fabric Mills,Potential Primary End Market,Textiles,40.862622,-73.9726
17,"Mount Vernon Mills, Inc.","1 Gerli St, La France, SC, 29656",(864) 646-3213,www.mvmills.com,313210,Broadwoven Fabric Mills,Potential Primary End Market,Textiles,34.6119,-82.7652
18,"Windsor Locks Nonwovens, Inc.","1 Hartfield Blvd Ste 101, East Windsor, CT, 06088-9500",(860) 292-5600,www.suominen.fi,313230,Nonwoven Fabric Mills,Potential Primary End Market,Textiles,41.930178,-72.61071
19,"Suominen US Holding, Inc.","1 Hartfield Blvd Ste 101, East Windsor, CT, 06088-9500",(860) 386-8001,www.suominen.fi,313230,Nonwoven Fabric Mills,Potential Primary End Market,Textiles,41.930178,-72.61071
20,Russell Ribbon & Trim Co,"1 Hillyer Ln, Newtown, PA, 18940-2827",(215) 938-8550, ,313220,Narrow Fabric Mills and Schiffli Machine Embroidery,Potential Primary End Market,Textiles,40.265954,-74.92671
21,Circa 1801,"1 Jacquard Dr, Connelly Springs, NC, 28612-7851",(828) 397-7003, ,313210,Broadwoven Fabric Mills,Potential Primary End Market,Textiles,35.715236,-81.44182
22,Suriana Canvas Inc.,"1 Jefwin Dr, Newburgh, NY, 12550-2546", , ,313210,Broadwoven Fabric Mills,Potential Primary End Market,Textiles,41.532958,-74.08808
23,"VIDALIA INDUSTRIAL FACILITIES, LLC","1 King Timahoe Dr, Vidalia, LA, 71373",(318) 336-4812,www.vidaliamills.com,313210,Broadwoven Fabric Mills,Potential Primary End Market,Textiles,31.5496,-91.4732
24,"Canvas Natural, LLC","1 Lakeland Sq, Flowood, MS, 39232-8826", , ,313210,Broadwoven Fabric Mills,Potential Primary End Market,Textiles,32.329152,-90.12205
25,Velour Originals LLC,"1 Lattice Pl, Greenville, SC, 29615-5830",(864) 987-0038, ,313210,Broadwoven Fabric Mills,Potential Primary End Market,Textiles,34.831187,-82.25633
26,"Giral, LLC","1 Lawson Ln Ste 120, Burlington, VT, 05401-8445",(802) 238-7852, ,313240,Knit Fabric Mills,Potential Primary End Market,Textiles,44.476787,-73.21425
27,"Ex-Cell of Bentonville, Inc.","1 Linde Dr, Goldsboro, NC, 27533", , ,313210,Broadwoven Fabric Mills,Potential Primary End Market,Textiles,35.457464,-78.0021
28,Third Eye Tapestries,"1 Lyndsie CT, Medford, NY, 11763-1264",(631) 445-9875, ,313210,Broadwoven Fabric Mills,Potential Primary End Market,Textiles,40.840018,-73.00559
29,RI Knitting Group LLC,"1 Main St Ste 10, Whitinsville, MA, 01588-2201",(508) 822-5333,www.riknitting.com,313220,Narrow Fabric Mills and Schiffli Machine Embroidery,Potential Primary End Market,Textiles,42.110397,-71.66517
30,Hampton Industries Inc,"1 Market St Ste 13, Passaic, NJ, 07055-7364",(973) 574-8900, ,313240,Knit Fabric Mills,Potential Primary End Market,Textiles,40.860413,-74.11605
31,Atlantic Mills Inc.,"1 Market St Ste 9, Passaic, NJ, 07055-7364",(973) 344-2001,www.atlanticmills.com,313210,Broadwoven Fabric Mills,Potential Primary End Market,Textiles,40.860413,-74.11605
